,SEASON,TEAM_ID,TEAM_ABBR,IsHomeTeam,WINS,WINS_HOME,GAMES,PTS,PTS_opp,d_PTS_per_GAME,WIN_PCT_TOTAL,WIN_PCT_HOME_GMS,WIN_PCT_AWAY_GMS
188,2009,1610612746,LAC,41,29,21,82,7849,8370,-6.353658536585366,0.35365853658536583,0.5121951219512195,0.1951219512195122
189,2009,1610612747,LAL,41,57,34,82,8339,7952,4.719512195121951,0.6951219512195121,0.8292682926829268,0.5609756097560976
190,2009,1610612748,MIA,41,47,24,82,7914,7727,2.2804878048780486,0.573170731707317,0.5853658536585366,0.5609756097560976
191,2009,1610612749,MIL,41,46,28,82,8009,7870,1.6951219512195121,0.5609756097560976,0.6829268292682927,0.43902439024390244
192,2009,1610612750,MIN,41,15,10,82,8051,8838,-9.597560975609756,0.18292682926829268,0.24390243902439024,0.12195121951219512
193,2009,1610612751,BKN,41,12,8,82,7575,8323,-9.121951219512194,0.14634146341463414,0.1951219512195122,0.0975609756097561
194,2009,1610612752,NYK,41,29,18,82,8373,8686,-3.817073170731707,0.35365853658536583,0.43902439024390244,0.2682926829268293
195,2009,1610612753,ORL,41,59,34,82,8426,7812,7.487804878048781,0.7195121951219512,0.8292682926829268,0.6097560975609756
196,2009,1610612754,IND,41,32,23,82,8263,8510,-3.0121951219512195,0.3902439024390244,0.5609756097560976,0.21951219512195122
197,2009,1610612755,PHI,41,27,12,82,8014,8334,-3.902439024390244,0.32926829268292684,0.2926829268292683,0.36585365853658536
198,2009,1610612756,PHX,41,54,32,82,9039,8637,4.902439024390244,0.6585365853658537,0.7804878048780488,0.5365853658536586
199,2009,1610612757,POR,41,50,26,82,8045,7774,3.3048780487804876,0.6097560975609756,0.6341463414634146,0.5853658536585366
200,2009,1610612758,SAC,41,25,18,82,8200,8558,-4.365853658536586,0.3048780487804878,0.43902439024390244,0.17073170731707318
201,2009,1610612759,SAS,41,50,29,82,8312,7895,5.085365853658536,0.6097560975609756,0.7073170731707317,0.5121951219512195
202,2009,1610612760,OKC,41,50,27,82,8322,8036,3.4878048780487805,0.6097560975609756,0.6585365853658537,0.5609756097560976
203,2009,1610612761,TOR,41,40,25,82,8534,8680,-1.7804878048780488,0.4878048780487805,0.6097560975609756,0.36585365853658536
204,2009,1610612762,UTA,41,53,32,82,8547,8109,5.341463414634147,0.6463414634146342,0.7804878048780488,0.5121951219512195
205,2009,1610612763,MEM,41,40,23,82,8404,8528,-1.5121951219512195,0.4878048780487805,0.5609756097560976,0.4146341463414634
206,2009,1610612764,WAS,41,26,15,82,7892,8284,-4.780487804878049,0.3170731707317073,0.36585365853658536,0.2682926829268293
207,2009,1610612765,DET,41,27,17,82,7709,8128,-5.109756097560975,0.32926829268292684,0.4146341463414634,0.24390243902439024
